sname,District_Name,Crop_Year,cseason,Crop,Area,production,ratio_of_production,label
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,Dry chillies,340.0,822.8,0.05246779747481188,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,Dry ginger,410.0,1462.0,0.0932279046040046,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,other oilseeds,89.3,46.5,0.002965183012370871,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,Sugarcane,145.26,1560.0,0.09947710751179696,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Kharif     ,Rice,8683.38,25870.98,1.6497245249330443,2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Arecanut,3250.78,3058.46,0.19502997066700675,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Banana,1656.8,10251.13,0.6536876673893636,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Black pepper,656.45,35.95,0.002292437189134039,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Cashewnut,118.5,30.22,0.0019270501211580155,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Coconut ,7050.45,26430000.0,1685.371763805637,2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Dry chillies,370.7,877.6,0.05596224971304681,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Dry ginger,200.0,1800.0,0.11478127789822727,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,other oilseeds,53.55,34.2,0.002180844280066318,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Sugarcane,128.02,2448.2,0.1561152914169111,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Sweet potato,131.9,700.35,0.044659482208901924,1
